time_key,open,close,high,low,volume
2024-05-29,32.63,33.11,33.305,32.31,4354920.0
2024-05-30,32.92,33.15,33.34,32.695,4067247.0
2024-05-31,33.5,33.62,34.1,33.07,9726492.0
2024-06-03,34.0,34.48,34.51,33.88,6239849.0
2024-06-04,34.31,35.0,35.02,33.9,6449454.0
2024-06-05,35.91,35.6,35.91,34.9,5451701.0
2024-06-06,35.4,35.64,36.12,35.3148,3674615.0
2024-06-07,35.27,35.63,36.07,35.18,5833400.0
2024-06-10,35.3,34.99,35.53,34.84,4883884.0
2024-06-11,34.92,35.49,35.7,34.76,3826096.0
2024-06-12,36.47,36.03,36.605,35.875,4725006.0
2024-06-13,37.05,35.52,37.3,35.38,6325360.0
2024-06-14,35.32,35.1,35.79,34.885,5713608.0
2024-06-17,34.86,35.9,36.24,34.41,6852478.0
2024-06-18,35.9,35.9,36.13,35.505,4973376.0
2024-06-20,35.87,35.86,36.04,35.35,4392470.0
2024-06-21,35.8,36.16,36.27,35.53,8012304.0
2024-06-24,35.99,35.19,36.34,34.895,5627206.0
2024-06-25,35.25,35.43,35.44,34.62,5569449.0
2024-06-26,35.37,36.91,37.33,35.27,8337749.0
2024-06-27,36.67,37.22,37.79,36.63,5181893.0
2024-06-28,37.13,37.21,37.5,36.97,7546038.0
2024-07-01,37.11,37.06,37.13,36.37,3638942.0
2024-07-02,36.75,37.14,37.76,36.47,4096644.0
2024-07-03,37.39,37.77,38.47,37.35,3947509.0
2024-07-05,37.66,38.68,38.7,37.46,4445726.0
2024-07-08,39.0,39.82,39.92,38.37,7844983.0
2024-07-09,39.91,39.39,39.99,39.005,5112994.0
2024-07-10,39.58,39.66,39.77,38.605,3863586.0
2024-07-11,39.63,38.52,39.89,38.43,4325061.0
2024-07-12,39.86,40.53,40.68,39.49,8292145.0
2024-07-15,40.7,41.11,41.62,40.25,6457385.0
2024-07-16,41.27,41.28,41.485,40.7,4620516.0
2024-07-17,40.48,40.0,41.03,39.53,5135329.0
2024-07-18,40.07,39.79,40.725,39.56,3332829.0
2024-07-19,39.7,40.52,40.76,39.52,4053912.0
2024-07-22,40.99,41.0,41.285,40.77,3660874.0
2024-07-23,40.3,41.08,41.165,40.23,4680139.0
2024-07-24,40.47,39.96,41.08,39.89,3150361.0
2024-07-25,40.01,40.54,41.14,39.55,3589795.0
2024-07-26,41.0,40.51,41.08,40.0002,3194512.0
2024-07-29,40.95,40.57,41.0,40.2,6316402.0
2024-07-30,40.75,41.03,41.389,40.67,5584077.0
2024-07-31,41.49,41.52,42.04,41.04,7762792.0
2024-08-01,40.09,38.85,41.04,37.34,15411281.0
2024-08-02,38.145,39.04,39.255,37.305,7398291.0
2024-08-05,36.6,36.53,37.29,35.3,13114046.0
2024-08-06,36.96,37.67,38.11,36.18,9997878.0
2024-08-07,38.11,36.18,38.7,36.07,6472068.0
2024-08-08,36.49,37.17,37.32,36.32,6219718.0
2024-08-09,37.33,37.02,37.55,36.77,4669686.0
2024-08-12,37.14,37.32,37.9,36.91,5298449.0
2024-08-13,38.45,38.75,39.68,38.0501,6551069.0
2024-08-14,38.86,39.09,39.19,38.645,3691551.0
2024-08-15,39.68,40.5,40.62,39.22,5084761.0
2024-08-16,40.3,40.59,41.17,40.24,6136551.0
2024-08-19,40.54,40.86,40.87,39.72,6661454.0
2024-08-20,40.5,40.54,40.74,39.72,11753153.0
2024-08-21,40.68,43.35,43.49,40.67,11870237.0
2024-08-22,43.45,43.36,44.03,43.14,8955063.0
2024-08-23,43.6,44.16,44.425,43.28,6266460.0
2024-08-26,44.05,43.94,44.48,43.71,4192801.0
2024-08-27,43.27,44.16,44.22,43.09,5312048.0
2024-08-28,44.16,44.13,44.51,43.73,4182658.0
2024-08-29,44.45,43.57,44.85,43.445,4613839.0
2024-08-30,43.72,43.99,44.49,43.59,5261596.0
2024-09-03,43.88,42.92,44.03,42.485,5256657.0
2024-09-04,42.78,43.26,43.88,42.61,3111890.0
2024-09-05,43.06,43.71,43.8,43.02,3008246.0
2024-09-06,44.8,43.64,44.96,42.325,6198955.0
2024-09-09,44.12,43.62,45.0,43.195,6759306.0
2024-09-10,43.83,44.9,44.9,43.645,4463806.0
2024-09-11,44.37,44.99,45.07,43.84,6618571.0
2024-09-12,45.01,45.41,46.0,44.53,5292237.0
2024-09-13,45.44,45.87,46.12,45.28,4713434.0
2024-09-16,45.82,46.24,47.495,45.64,8226591.0
2024-09-17,46.42,45.74,46.98,45.52,5190928.0
2024-09-18,45.75,45.28,46.14,45.11,6325447.0
2024-09-19,46.15,46.3,46.845,45.66,7080337.0
2024-09-20,45.99,46.03,46.56,45.54,7791371.0
2024-09-23,46.26,45.53,46.44,45.1,9134790.0
2024-09-24,45.31,47.11,47.21,45.17,9528658.0
2024-09-25,47.45,47.64,48.43,47.26,7828352.0
2024-09-26,47.81,44.87,47.93,44.6101,7965950.0
2024-09-27,44.63,44.18,45.05,43.76,6093694.0
2024-09-30,44.08,44.26,44.64,43.9,4187374.0
2024-10-01,44.38,43.53,44.46,42.86,4922720.0
2024-10-02,43.32,43.39,43.85,42.88,6515335.0
2024-10-03,43.01,42.18,43.32,41.81,7790190.0
2024-10-04,42.64,41.99,42.702,40.88,8199502.0
2024-10-07,41.81,41.39,41.94,41.27,6662791.0
2024-10-08,37.65,40.51,40.52,37.5,30320584.0
2024-10-09,40.61,41.74,42.365,40.5601,10691274.0
2024-10-10,41.35,41.4,42.13,41.2096,6463105.0
2024-10-11,41.32,41.6,41.65,41.1,4436464.0
2024-10-14,41.66,40.79,41.72,39.93,7192131.0
2024-10-15,40.95,40.76,41.3875,40.39,6115309.0
2024-10-16,40.735,41.39,41.71,40.515,5360569.0
2024-10-17,41.68,39.86,41.75,39.83,5973375.0
2024-10-18,39.99,39.93,40.155,39.3,5751502.0
2024-10-21,39.5,40.31,40.37,39.46,4626917.0
2024-10-22,40.84,41.29,41.66,40.57,6027097.0
2024-10-23,42.4,41.16,43.0,41.125,5882382.0
2024-10-24,41.43,41.78,41.94,41.17,4923055.0
2024-10-25,42.14,42.14,42.495,41.94,7142449.0
2024-10-28,42.59,42.3,43.145,42.18,5830532.0
2024-10-29,42.145,42.61,42.96,41.5,5487389.0
2024-10-30,42.72,43.14,43.54,42.36,6682811.0
2024-10-31,51.12,51.72,52.65,48.0,37475785.0
2024-11-01,51.11,51.44,52.07,50.66,12925147.0
2024-11-04,52.74,50.0,53.07,49.97,19491439.0
2024-11-05,49.92,51.18,51.6099,49.61,10265805.0
2024-11-06,51.99,52.9,53.0,50.85,8570916.0
2024-11-07,52.88,53.11,53.66,51.8501,7974557.0
2024-11-08,52.88,52.4,54.07,52.17,8165613.0
2024-11-11,52.45,54.56,55.1,52.38,12354532.0
2024-11-12,54.15,54.38,55.09,54.1,10280627.0
2024-11-13,54.45,53.14,54.65,52.91,8333890.0
2024-11-14,52.37,52.73,53.57,51.82,6913566.0
2024-11-15,52.5,50.73,52.53,50.68,9122580.0
2024-11-18,51.0,51.03,51.25,50.21,14484486.0
2024-11-19,50.53,52.24,53.16,50.53,9487447.0
2024-11-20,52.29,51.52,52.32,50.6,13117623.0
2024-11-21,51.035,49.35,51.4,48.1,15731639.0
2024-11-22,49.28,49.38,50.3759,48.61,6826557.0
